RU;Band Size;Band Number;Code;Specie Name;Foraging strategy;Specie Code;Age;Age How1;Age How2;Sex;Sex How1;Sex How2;BP;CP;Fat;Body Molt;FF Molt;Wear;Ecto;Wing Chord;Weight;Total Tail;Longest Tail;Shortest tail (R1);Bill corrugated;Throat feathers;Exposed culmen;Width of R5;Date;Location;Session;Month;Year;Time;Net;Bander;Total culmen;Width culmen;Depth culmen;Tarsus;Leg aperture;Hallux;SL;R1;Tarsus Ring Size (Hummingbirds)
4465;RE;A53050;R;COELIGENA IRIS;Trapliner;COIR;A;P;9;F;P;9;0;0;0;1;A;1;0;77;7;59;59;NA;0;NA;29.46;NA;27-ago-14;MAIN;Second;August;2014;7:15;6;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
4470;RE;A52913;R;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;F;P;9;0;0;0;0;0;1;0;48;NA;NA;NA;NA;NA;NA;NA;NA;27-ago-14;MAIN;Second;August;2014;15:15;10;JA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4472;X;A53642;N;COELIGENA IRIS;Trapliner;COIR;Y;P;I;U;9;9;0;0;0;1;0;1;0;75;4.5;52;52;NA;80;NA;30.74;NA;28-ago-14;MAIN;Second;August;2014;6:45;6;AN;39.79;5.47;2.34;5.43;10.99;3.49;29;NA;
4473;X;A53643;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;Y;I;P;U;9;9;0;0;0;2;F;1;0;64;5.95;54;54;NA;70;NA;19.15;NA;28-ago-14;MAIN;Second;August;2014;8:45;1;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
4474;X;A53644;N;HELIANGELUS VIOLA;Territorial;HEVI;A;P;9;M;P;9;0;0;0;3;0;1;M;62;5.2;50;50;NA;0;NA;14.39;NA;28-ago-14;MAIN;Second;August;2014;8:45;1;AN;20.33;3.52;2.06;5.62;13.91;3.66;26;NA;
4475;X;A53603;N;METALLURA TYRIANTHINA;Territorial;METY;Y;P;9;M;P;9;0;0;0;1;0;1;0;56;3.75;39;39;NA;0;NA;12.67;NA;28-ago-14;MAIN;Second;August;2014;9:15;6;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
4476;X;A53604;N;METALLURA TYRIANTHINA;Territorial;METY;Y;P;I;M;P;9;0;0;0;1;0;1;0;57;3.95;55;55;NA;20;NA;12.67;NA;28-ago-14;MAIN;Second;August;2014;9:45;13;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
4477;X;A53645;N;METALLURA TYRIANTHINA;Territorial;METY;Y;I;P;M;P;9;0;0;0;2;0;1;0;51;3.6;35;35;NA;30;NA;12.31;NA;28-ago-14;MAIN;Second;August;2014;9:45;16;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
4478;X;A53646;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;Y;I;9;U;9;9;0;0;0;2;0;1;0;69;6.15;56;56;NA;50;NA;20.96;NA;28-ago-14;MAIN;Second;August;2014;10:15;6;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
4479;X;A53647;N;LESBIA NUNA;Trapliner;LENU;A;P;9;M;P;9;0;0;0;2;0;1;0;51;4.05;110;110;NA;0;NA;14.3;NA;28-ago-14;MAIN;Second;August;2014;10:45;8;AN;15.66;4.51;1.55;6.56;10.64;3.22;20;NA;
4480;X;A53581;N;HELIANGELUS VIOLA;Territorial;HEVI;A;P;9;M;P;9;0;0;0;0;A;1;M;66;6.25;59;59;NA;10;NA;14.3;NA;28-ago-14;MAIN;Second;August;2014;10:45;8;JA;20.66;3.91;1.99;6.36;11.75;3.27;27;NA;
4494;RE;A53465;R;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;F;P;9;0;0;0;2;0;1;M;53;3.25;36;36;NA;0;NA;12.83;NA;28-ago-14;MAIN;Second;August;2014;8:45;5;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
4496;RE;A53514;R;HELIANGELUS VIOLA;Territorial;HEVI;A;P;9;M;P;9;0;0;0;0;0;1;M;63;6.45;NA;NA;NA;NA;NA;14.42;NA;28-ago-14;MAIN;Second;August;2014;10:15;6;JA;19.95;5.62;1.72;6.46;10.93;3.88;25;NA;
4498;X;A53648;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;F;P;9;X;0;0;2;0;2;M;52;3.8;37;37;NA;0;NA;11.93;NA;29-ago-14;MASE;Second;August;2014;6:15;10;AN;18.02;5.08;1.42;;8.85;3.8;24;NA;
4499;X;A53649;N;COELIGENA IRIS;Trapliner;COIR;A;P;9;U;9;9;0;0;0;1;0;1;0;75;6.75;49;49;NA;0;NA;27.54;NA;29-ago-14;MASE;Second;August;2014;6:45;16;AN;36.02;6.47;2.25;5.3;10.86;3.14;27;NA;
4500;X;A53598;N;METALLURA TYRIANTHINA;Territorial;METY;Y;P;9;M;P;9;0;0;0;0;0;1;M;59;3.8;43;43;NA;0;NA;12.63;NA;29-ago-14;MASE;Second;August;2014;7:15;2;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
4501;X;A53473;N;METALLURA TYRIANTHINA;Territorial;METY;U;9;9;U;9;9;0;0;0;2;0;1;0;50;3.4;35;35;NA;0;NA;12.36;NA;29-ago-14;MASE;Second;August;2014;7:15;2;AN;17.99;4.59;1.93;6.33;11.9;3.91;23;NA;
4502;X;A53606;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;M;P;9;0;0;0;1;0;2;0;56;3.8;43;43;NA;0;NA;11.87;NA;29-ago-14;MASE;Second;August;2014;7:15;20;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
4503;X;A53607;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;M;P;9;0;0;0;1;0;1;0;61;3.95;44;44;NA;0;NA;12.78;NA;29-ago-14;MASE;Second;August;2014;7:15;20;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
4504;X;A53650;N;COELIGENA IRIS;Trapliner;COIR;Y;I;P;U;9;9;0;0;0;3;0;1;0;75;6.7;51;51;NA;20;NA;30.57;NA;29-ago-14;MASE;Second;August;2014;7:45;23;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
4505;X;A53582;N;HELIANGELUS VIOLA;Territorial;HEVI;Y;I;P;M;P;9;0;0;0;1;0;1;0;60;5.05;49;NA;NA;90;40;13.28;NA;29-ago-14;MASE;Second;August;2014;7:45;16;AN;19.79;6.67;1.92;6.68;12.34;4.1;28;NA;
4506;X;A53651;N;COELIGENA IRIS;Trapliner;COIR;Y;I;P;U;9;9;0;0;0;1;0;1;M;73;6.75;49;49;NA;100;NA;27.22;NA;29-ago-14;MASE;Second;August;2014;8:15;2;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
4507;X;A53609;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;M;P;9;0;0;0;0;0;1;M;58;3.85;40;40;NA;0;NA;12.46;NA;29-ago-14;MASE;Second;August;2014;8:15;6;JA;NA;NA;NA;NA;NA;NA;NA;NA;NA
