RU;Band Size;Band Number;Code;Specie Name;Foraging strategy;Specie Code;Age;Age How1;Age How2;Sex;Sex How1;Sex How2;BP;CP;Fat;Body Molt;FF Molt;Wear;Ecto;Wing Chord;Weight;Total Tail;Longest Tail;Shortest tail (R1);Bill corrugated;Throat feathers;Exposed culmen;Width of R5;Date;Location;Session;Month;Year;Time;Net;Bander;Total culmen;Width culmen;Depth culmen;Tarsus;Leg aperture;Hallux;SL;R1;Tarsus Ring Size (Hummingbirds)
1;X;A52364;N;METALLURA TYRIANTHINA;Territorial;METY;Y;I;9;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;80;NA;NA;NA;26-ago-08;MASE;Second;August;2008;6:30;5;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;X;A52365;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;I;M;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;0;NA;NA;NA;26-ago-08;MASE;Second;August;2008;6:30;2;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;X;A52366;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;I;M;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;0;NA;NA;NA;26-ago-08;MASE;Second;August;2008;6:30;1;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;X;A50125;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;A;P;I;U;9;9;0;0;0;0;0;1;M;65;5.85;NA;NA;NA;0;NA;18.49;6.35;27-ago-08;MASE;Second;August;2008;7:30;16;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;X;A52367;N;METALLURA TYRIANTHINA;Territorial;METY;Y;P;I;U;9;9;0;0;0;1;0;1;0;51;3.4;NA;NA;NA;80;NA;NA;NA;27-ago-08;MASE;Second;August;2008;8:00;15;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;X;A52368;N;METALLURA TYRIANTHINA;Territorial;METY;Y;I;9;U;9;9;0;0;0;2;0;1;0;51;3.4;NA;NA;NA;90;NA;11.85;8.14;27-ago-08;MASE;Second;August;2008;8:00;20;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;X;A52369;N;ERIOCNEMIS VESTITA;Territorial;ERVE;A;P;I;M;P;9;0;0;0;2;0;1;M;60;4.65;NA;NA;NA;60;FULL;16.35;17.2;27-ago-08;MASE;Second;August;2008;8:30;20;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;X;A52370;N;METALLURA TYRIANTHINA;Territorial;METY;Y;I;9;U;9;9;0;0;0;2;0;1;0;50;3.8;NA;NA;NA;60;NA;13.65;17.58;27-ago-08;MASE;Second;August;2008;10:00;8;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;X;A52371;N;METALLURA TYRIANTHINA;Territorial;METY;A;I;P;M;P;9;0;0;0;1;0;1;0;54;4.6;NA;NA;NA;0;FULL;12.26;9.29;27-ago-08;MASE;Second;August;2008;10:30;19;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
37;RE;A50101;R;METALLURA TYRIANTHINA;Territorial;METY;A;P;I;F;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;0;NA;NA;NA;26-ago-08;MASE;Second;August;2008;6:30;9;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
45;X;A52372;N;COELIGENA IRIS;Trapliner;COIR;U;9;9;U;9;9;0;0;0;9;9;1;0;79;NA;NA;NA;NA;10;NA;NA;NA;28-ago-08;MAIN;Second;August;2008;7:00;6;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
46;X;A50126;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;I;M;P;9;0;0;0;0;0;2;0;57;3.85;NA;NA;NA;0;NA;11.73;7.97;28-ago-08;MAIN;Second;August;2008;8:00;10;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
47;X;A50127;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;M;P;9;0;0;0;2;0;1;M;54;NA;NA;NA;NA;5;NA;NA;NA;28-ago-08;MAIN;Second;August;2008;8:00;6;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
48;X;A50128;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;I;M;P;9;0;0;0;0;0;2;0;55;3.75;NA;NA;NA;0;NA;11.52;8.12;28-ago-08;MAIN;Second;August;2008;8:30;15;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
49;X;A52373;N;HELIANGELUS VIOLA;Territorial;HEVI;A;P;I;M;P;9;0;0;0;0;0;1;0;60;5.7;NA;NA;NA;0;NA;12.73;7.42;28-ago-08;MAIN;Second;August;2008;10:00;17;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
50;X;A52374;N;ERIOCNEMIS VESTITA;Territorial;ERVE;A;F;P;M;P;9;0;0;0;1;0;0;0;61;5.05;NA;NA;NA;5;NA;15;7.65;29-ago-08;MAIN;Second;August;2008;7:00;1;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
51;X;A50129;N;HELIANGELUS VIOLA;Territorial;HEVI;Y;I;9;M;P;9;0;0;0;0;0;1;0;61;5.2;NA;NA;NA;90;NA;13.27;7.27;29-ago-08;MAIN;Second;August;2008;9:00;6;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
52;X;A50130;N;METALLURA TYRIANTHINA;Territorial;METY;Y;I;9;M;P;9;0;0;0;0;0;1;0;54;3.75;NA;NA;NA;60;NA;11.35;9.28;29-ago-08;MAIN;Second;August;2008;10:00;5;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
74;RE;A50106;R;METALLURA TYRIANTHINA;Territorial;METY;U;9;9;U;9;9;0;0;0;0;0;0;0;51;3.3;NA;NA;NA;10;NA;13.8;7.73;28-ago-08;MAIN;Second;August;2008;8:00;6;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
77;RE;A52351;R;ERIOCNEMIS LUCIANI;Territorial;ERLU;A;P;9;U;9;9;0;0;0;0;0;3;0;69;NA;NA;NA;NA;0;NA;18.92;7.45;28-ago-08;MAIN;Second;August;2008;9:30;2;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
81;RE;A50090;R;ERIOCNEMIS LUCIANI;Territorial;ERLU;A;P;I;U;9;9;0;0;0;0;0;1;0;63;6.15;NA;NA;NA;0;NA;17.63;5.82;29-ago-08;MAIN;Second;August;2008;7:00;2;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
85;UNB;NA;U;ERIOCNEMIS LUCIANI;Territorial;ERLU;U;9;9;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;28-ago-08;MAIN;Second;August;2008;9:00;10;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
87;X;A50131;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;A;P;9;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;7:00;14;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
88;X;A50132;N;METALLURA TYRIANTHINA;Territorial;METY;Y;I;9;M;P;9;0;0;0;0;0;2;0;55;3.85;NA;NA;NA;60;NA;12.52;7.85;30-ago-08;LLAV;Second;August;2008;7:00;14;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
89;X;A50133;N;METALLURA TYRIANTHINA;Territorial;METY;Y;I;9;M;P;9;0;0;0;1;0;1;0;67;4.4;NA;NA;NA;70;NA;13.97;8.76;30-ago-08;LLAV;Second;August;2008;7:30;14;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
90;X;A50134;N;METALLURA TYRIANTHINA;Territorial;METY;Y;I;9;M;P;9;9;9;9;9;9;9;9;55;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;7:30;16;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
91;X;A50135;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;U;9;9;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;7:30;4;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
92;X;A50136;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;Y;P;I;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;7:30;16;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
93;X;A50137;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;Y;I;9;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;7:30;16;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
94;X;A50138;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;M;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;7:30;1;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
95;X;A50139;N;METALLURA TYRIANTHINA;Territorial;METY;Y;I;P;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;7:30;16;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
96;X;A50140;N;METALLURA BARONI;Territorial;MEBA;A;P;I;F;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;0;30-ago-08;LLAV;Second;August;2008;7:30;9;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
97;X;A50141;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;M;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;8:00;13;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
98;X;A50142;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;Y;I;9;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;0;30-ago-08;LLAV;Second;August;2008;8:00;13;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
100;X;A50144;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;Y;P;9;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;8:00;10;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
101;X;A50145;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;U;9;9;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;8:30;12;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
102;X;A50146;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;U;9;9;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;8:30;18;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;X;A50147;N;METALLURA BARONI;Territorial;MEBA;A;P;I;M;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;8:30;17;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;X;A50148;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;U;9;9;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;8:30;7;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
105;X;A50149;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;A;P;I;U;9;9;9;9;9;9;9;9;9;65;6.4;NA;NA;NA;0;NA;20.9;8.04;30-ago-08;LLAV;Second;August;2008;8:30;11;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;X;A50150;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;M;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;8:30;11;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;X;A52457;N;METALLURA TYRIANTHINA;Territorial;METY;Y;I;9;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;9:00;2;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;X;A52458;N;METALLURA TYRIANTHINA;Territorial;METY;Y;P;9;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;9:00;14;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;X;A52388;N;COELIGENA IRIS;Trapliner;COIR;A;P;9;M;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;9:00;9;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
110;X;A52389;N;COELIGENA IRIS;Trapliner;COIR;Y;P;9;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;9:00;2;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
112;X;A52459;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;A;P;9;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;9:00;12;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
113;X;A52460;N;METALLURA BARONI;Territorial;MEBA;U;9;9;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;9:00;12;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
114;X;A52461;N;ERIOCNEMIS VESTITA;Territorial;ERVE;A;P;9;M;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;9:30;7;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
115;X;A52390;N;AGLAEACTIS CUPRIPENNIS;Territorial;AGCU;Y;P;9;U;9;9;0;0;0;0;0;9;0;74;6.55;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;9:30;7;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
116;X;A52462;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;A;P;I;U;9;9;0;0;0;0;0;0;0;67;NA;NA;NA;NA;0;NA;19.79;6.88;30-ago-08;LLAV;Second;August;2008;10:00;12;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
117;X;A52463;N;METALLURA TYRIANTHINA;Territorial;METY;Y;I;9;M;P;9;0;0;0;1;0;9;9;51;4.35;NA;NA;NA;10;NA;14.05;9.31;30-ago-08;LLAV;Second;August;2008;10:00;10;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
118;X;A52464;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;A;P;9;U;9;9;0;0;0;2;0;9;9;71;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;10:00;1;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
119;X;A52465;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;Y;I;9;U;9;9;0;0;0;0;0;1;M;68;5.85;NA;NA;NA;70;NA;19.75;NA;30-ago-08;LLAV;Second;August;2008;10:00;9;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
120;X;A52466;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;M;P;9;0;0;0;1;0;3;0;54;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;10:30;13;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
121;X;A52467;N;METALLURA BARONI;Territorial;MEBA;Y;I;9;U;9;9;0;0;0;0;0;1;0;54;NA;NA;NA;NA;90;NA;19.99;17.89;30-ago-08;LLAV;Second;August;2008;10:30;13;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
122;X;A52468;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;F;P;9;0;0;0;0;0;1;0;55;3.9;NA;NA;NA;0;NA;11.57;NA;30-ago-08;LLAV;Second;August;2008;10:30;11;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
123;X;A52391;N;COELIGENA IRIS;Trapliner;COIR;A;P;9;F;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;10:30;11;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
124;X;A52469;N;METALLURA BARONI;Territorial;MEBA;Y;P;9;M;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;10:30;4;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
125;X;A52392;N;COELIGENA IRIS;Trapliner;COIR;A;F;P;F;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;10:30;11;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
127;X;A52471;N;METALLURA TYRIANTHINA;Territorial;METY;Y;I;9;M;P;9;0;0;0;0;0;0;0;54;4.2;NA;NA;NA;90;NA;12.84;8.7;30-ago-08;LLAV;Second;August;2008;11:00;8;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
128;X;A52472;N;ERIOCNEMIS VESTITA;Territorial;ERVE;A;P;9;M;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;11:00;10;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
129;X;A52473;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;Y;I;9;U;9;9;0;0;0;1;0;1;0;60;NA;NA;NA;NA;80;NA;19.48;NA;30-ago-08;LLAV;Second;August;2008;12:00;7;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
130;X;A52393;N;COELIGENA IRIS;Trapliner;COIR;Y;I;9;M;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;80;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;12:00;7;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
131;X;A52474;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;A;P;I;U;9;9;0;0;0;0;0;2;0;70;NA;NA;NA;NA;0;NA;19.37;NA;30-ago-08;LLAV;Second;August;2008;12:30;9;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
132;X;A52475;N;METALLURA TYRIANTHINA;Territorial;METY;Y;I;9;M;P;9;0;0;0;0;0;0;0;56;3.75;NA;NA;NA;90;NA;12.85;10.12;30-ago-08;LLAV;Second;August;2008;12:30;3;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
133;X;A52476;N;METALLURA BARONI;Territorial;MEBA;Y;I;9;U;9;9;0;0;0;0;0;1;0;54;NA;NA;NA;NA;90;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;13:30;13;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
134;X;A52477;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;Y;I;P;U;9;9;0;0;0;1;0;1;M;61;6;NA;NA;NA;90;NA;19.1;7.32;30-ago-08;LLAV;Second;August;2008;14:00;1;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
135;X;A52479;N;METALLURA BARONI;Territorial;MEBA;Y;I;9;U;9;9;0;0;0;0;0;1;0;54;3.95;NA;NA;NA;60;NA;12.72;7.77;30-ago-08;LLAV;Second;August;2008;14:30;17;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
136;X;A52480;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;Y;I;9;U;9;9;0;0;0;0;0;1;0;65;5.85;NA;NA;NA;60;NA;19.33;7.25;30-ago-08;LLAV;Second;August;2008;14:30;9;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
137;X;A52481;N;METALLURA BARONI;Territorial;MEBA;Y;I;9;U;9;9;0;0;0;0;0;1;0;58;NA;NA;NA;NA;70;NA;12.72;NA;30-ago-08;LLAV;Second;August;2008;15:00;9;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
138;X;A52394;N;COELIGENA IRIS;Trapliner;COIR;A;P;9;M;P;9;0;0;0;0;0;1;0;84;7.15;NA;NA;NA;0;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;15:00;8;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
139;X;A52482;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;Y;I;9;U;9;9;0;0;0;2;0;1;0;66;5.85;NA;NA;NA;80;NA;19.32;7.74;30-ago-08;LLAV;Second;August;2008;15:00;9;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
140;X;A52483;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;Y;I;9;U;9;9;0;0;0;2;F;2;0;70;7;NA;NA;NA;10;NA;20.9;9.25;30-ago-08;LLAV;Second;August;2008;16:00;13;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
141;X;A52484;N;METALLURA TYRIANTHINA;Territorial;METY;U;9;9;U;9;9;0;0;0;0;0;1;0;52;NA;NA;NA;NA;NA;NA;11.67;7.04;30-ago-08;LLAV;Second;August;2008;17:30;9;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
157;RE;A49880;R;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;F;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;0;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;7:30;7;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
158;RE;A52286;R;ERIOCNEMIS VESTITA;Territorial;ERVE;Y;P;9;M;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;8:00;16;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
161;RE;A52428;R;METALLURA BARONI;Territorial;MEBA;A;P;9;M;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;8:00;10;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
162;RE;A50113;R;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;M;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;8:30;16;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
164;RE;A49852;R;ERIOCNEMIS LUCIANI;Territorial;ERLU;A;F;9;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;9:00;2;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
167;RE;A52208;R;ERIOCNEMIS LUCIANI;Territorial;ERLU;A;P;I;U;9;9;0;0;0;0;0;1;0;70;NA;NA;NA;NA;0;NA;19.55;NA;30-ago-08;LLAV;Second;August;2008;10:30;15;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
168;RE;A52452;R;METALLURA BARONI;Territorial;MEBA;Y;I;9;U;9;9;0;0;0;0;0;1;0;55;NA;NA;NA;NA;40;NA;14.5;9.1;30-ago-08;LLAV;Second;August;2008;11:30;10;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
169;RE;A52286;R;ERIOCNEMIS VESTITA;Territorial;ERVE;A;P;9;M;P;9;0;0;0;1;0;1;0;59;NA;NA;NA;NA;NA;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;13:30;1;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
173;RE;A49852;R;ERIOCNEMIS LUCIANI;Territorial;ERLU;U;9;9;U;9;9;0;0;0;1;0;1;0;67;6.65;NA;NA;NA;60;NA;19.59;7.74;30-ago-08;LLAV;Second;August;2008;15:30;2;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
174;RE;A52379;R;HELIANGELUS VIOLA;Territorial;HEVI;A;I;9;U;9;9;0;0;0;0;0;1;0;61;NA;NA;NA;NA;0;NA;14.54;NA;30-ago-08;LLAV;Second;August;2008;16:00;12;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
177;RE;A50042;R;ERIOCNEMIS LUCIANI;Territorial;ERLU;Y;I;9;U;9;9;0;0;0;0;H;0;0;NA;NA;NA;NA;NA;80;NA;NA;NA;30-ago-08;LLAV;Second;August;2008;17:30;4;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
180;RE;A49830;R;ERIOCNEMIS LUCIANI;Territorial;ERLU;U;9;9;U;9;9;0;0;0;0;0;0;0;64;NA;NA;NA;NA;NA;NA;NA;NA;19-jul-06;LLAV;Second;July;2006;8:30;7;;NA;NA;NA;NA;NA;NA;NA;NA;NA
184;RE;A49854;R;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;19-jul-06;LLAV;Second;July;2006;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA
186;RE;A49805;R;ERIOCNEMIS LUCIANI;Territorial;ERLU;A;I;9;U;9;9;9;0;0;2;F;0;0;68;NA;NA;NA;NA;0;NA;19.33;NA;19-jul-06;LLAV;Second;July;2006;8:45;7;;NA;NA;NA;NA;NA;NA;NA;NA;NA
187;RE;A49852;R;ERIOCNEMIS LUCIANI;Territorial;ERLU;A;P;9;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;19-jul-06;LLAV;Second;July;2006;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA
188;RE;A49890;R;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;U;9;9;9;9;9;9;9;9;9;47;NA;NA;NA;NA;NA;NA;NA;NA;19-jul-06;LLAV;Second;July;2006;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA
194;RE;A49905;R;ERIOCNEMIS LUCIANI;Territorial;ERLU;U;9;9;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;20-jul-06;LLAV;Second;July;2006;8:00;2;;NA;NA;NA;NA;NA;NA;NA;NA;NA
196;RE;A49947;R;COELIGENA IRIS;Trapliner;COIR;Y;I;9;U;9;9;0;0;0;0;0;0;0;80;NA;NA;NA;NA;60;NA;30.3;NA;21-jul-06;MASE;Second;July;2006;6:45;19;SL;NA;NA;NA;NA;NA;NA;NA;NA;NA
197;RE;A49935;R;METALLURA TYRIANTHINA;Territorial;METY;Y;I;9;M;P;9;0;0;0;0;0;0;0;60;NA;NA;NA;NA;90;NA;11.7;NA;21-jul-06;MASE;Second;July;2006;6:45;8;SL;NA;NA;NA;NA;NA;NA;NA;NA;NA
198;RE;A49948;R;COELIGENA IRIS;Trapliner;COIR;A;I;P;F;B;9;4;0;0;0;0;0;0;79;NA;NA;NA;NA;0;NA;29.5;NA;21-jul-06;MASE;Second;July;2006;6:45;8;BT;NA;NA;NA;NA;NA;NA;NA;NA;NA
199;RE;A49936;R;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;M;P;9;0;0;0;0;0;1;0;55;NA;NA;NA;NA;30;NA;11.9;NA;21-jul-06;MASE;Second;July;2006;6:45;2;BT;NA;NA;NA;NA;NA;NA;NA;NA;NA
